date,best_model,best_forecast,garch_forecast,arch_forecast,historical_mean,forecast_change_pct
2025-10-31,GARCH,0.008552355709768922,0.008552355709768922,0.011521448075089535,0.008432471756778309,1.4216940945488035
2025-11-03,GARCH,0.008646255296207606,0.008646255296207606,0.011521459871251982,0.008432471756778309,2.535241689454225
2025-11-04,GARCH,0.008736612941657581,0.008736612941657581,0.011521471651254401,0.008432471756778309,3.6067856928757975
2025-11-05,GARCH,0.008823606220940208,0.008823606220940208,0.01152148341511895,0.008432471756778309,4.638431950246287
2025-11-06,GARCH,0.008907399954867003,0.008907399954867003,0.011521495162867752,0.008432471756778309,5.632135058228101
2025-11-07,GARCH,0.008988147481167543,0.008988147481167543,0.011521506894522901,0.008432471756778309,6.589713436544434
2025-11-10,GARCH,0.009065991763223386,0.009065991763223386,0.01152151861010646,0.008432471756778309,7.51286247636504
2025-11-11,GARCH,0.009141066361499032,0.009141066361499032,0.011521530309640463,0.008432471756778309,8.403166060427425
2025-11-12,GARCH,0.0092134962881454,0.0092134962881454,0.011521541993146913,0.008432471756778309,9.262106697710273
2025-11-13,GARCH,0.009283398761717992,0.009283398761717992,0.011521553660647783,0.008432471756778309,10.091074473575077
2025-11-14,GARCH,0.009350883876106032,0.009350883876106032,0.011521565312165015,0.008432471756778309,10.891374982542603
2025-11-17,GARCH,0.009416055195462356,0.009416055195462356,0.011521576947720522,0.008432471756778309,11.66423638351838
2025-11-18,GARCH,0.009479010285043481,0.009479010285043481,0.011521588567336188,0.008432471756778309,12.41081569498207
2025-11-19,GARCH,0.009539841186327815,0.009539841186327815,0.011521600171033862,0.008432471756778309,13.132204429375815
2025-11-20,GARCH,0.009598634843509691,0.009598634843509691,0.01152161175883537,0.008432471756778309,13.829433650862576
2025-11-21,GARCH,0.009655473487414839,0.009655473487414839,0.011521623330762502,0.008432471756778309,14.503478528148516
2025-11-24,GARCH,0.009710434982007438,0.009710434982007438,0.011521634886837023,0.008432471756778309,15.155262443682165
2025-11-25,GARCH,0.009763593137927094,0.009763593137927094,0.011521646427080664,0.008432471756778309,15.785660711864047
2025-11-26,GARCH,0.00981501799687975,0.00981501799687975,0.011521657951515126,0.008432471756778309,16.395503951615407
2025-11-27,GARCH,0.009864776090188647,0.009864776090188647,0.011521669460162086,0.008432471756778309,16.985581152513234
2025-11-28,GARCH,0.00991293067437327,0.00991293067437327,0.011521680953043184,0.008432471756778309,17.556642468501803
